# MEAN_SAMPLE_SIZE = 99339
# TOTAL_GENES = 18121
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:creighton_...4         SET     406     0.049626    0.0073446     0.029547     0.046529 Curated_gene_sets:creighton_endocrine_therapy_resistance_2
Curated_gene_sets:creighton_...5         SET     672     0.050738     0.009588     0.024309     0.018443 Curated_gene_sets:creighton_endocrine_therapy_resistance_3
Curated_gene_sets:creighton_...6         SET     275    -0.012025   -0.0014702     0.036794       0.6281 Curated_gene_sets:creighton_endocrine_therapy_resistance_4
Curated_gene_sets:creighton_...7         SET     452     0.016319     0.002545     0.029131      0.28768 Curated_gene_sets:creighton_endocrine_therapy_resistance_5
Curated_gene_sets:milicic_fa...2         SET       7     -0.28879   -0.0056751      0.24567       0.8801 Curated_gene_sets:milicic_familial_adenomatous_polyposis_up
Curated_gene_sets:milicic_fa...1         SET       8     -0.24625   -0.0051731      0.21113      0.87826 Curated_gene_sets:milicic_familial_adenomatous_polyposis_dn
Curated_gene_sets:singh_nfe2...          SET      13     0.074461    0.0019937      0.18636      0.34474 Curated_gene_sets:singh_nfe2l2_targets
Curated_gene_sets:pellicciot...2         SET      57     -0.16602   -0.0092971     0.073724      0.98783 Curated_gene_sets:pellicciotta_hdac_in_antigen_presentation_up
Curated_gene_sets:pellicciot...1         SET      51     0.054607     0.002893     0.089415       0.2707 Curated_gene_sets:pellicciotta_hdac_in_antigen_presentation_dn
Curated_gene_sets:lopes_meth...2         SET      22     -0.14144   -0.0049253      0.14635      0.83309 Curated_gene_sets:lopes_methylated_in_colon_cancer_up
Curated_gene_sets:lopes_meth...1         SET      26      0.18891    0.0071506      0.12876      0.07118 Curated_gene_sets:lopes_methylated_in_colon_cancer_dn
Curated_gene_sets:harris_bra...          SET      38     -0.13002   -0.0059477      0.10259      0.89746 Curated_gene_sets:harris_brain_cancer_progenitors
Curated_gene_sets:tuomisto_t...2         SET      17     0.064603    0.0019779      0.12746      0.30613 Curated_gene_sets:tuomisto_tumor_suppression_by_col13a1_up
Curated_gene_sets:tuomisto_t...1         SET      16      0.11656     0.003462      0.13857      0.20013 Curated_gene_sets:tuomisto_tumor_suppression_by_col13a1_dn
Curated_gene_sets:bafna_muc4...2         SET       7     0.051959    0.0010211      0.21342      0.40382 Curated_gene_sets:bafna_muc4_targets_up
Curated_gene_sets:bafna_muc4...1         SET       4      0.15379    0.0022847      0.26938      0.28404 Curated_gene_sets:bafna_muc4_targets_dn
Curated_gene_sets:howlin_cit...2         SET      31    -0.081771   -0.0033793      0.11625       0.7591 Curated_gene_sets:howlin_cited1_targets_1_up
Curated_gene_sets:howlin_cit...1         SET      34      0.13928    0.0060277      0.10253     0.087178 Curated_gene_sets:howlin_cited1_targets_1_dn
Curated_gene_sets:howlin_cit...4         SET      16     0.047366    0.0014069      0.16248      0.38533 Curated_gene_sets:howlin_cited1_targets_2_up
Curated_gene_sets:howlin_cit...3         SET      17     0.027306     0.000836      0.15435      0.42979 Curated_gene_sets:howlin_cited1_targets_2_dn
Curated_gene_sets:hillion_hm...1         SET      71    -0.024165   -0.0015097     0.075095      0.62619 Curated_gene_sets:hillion_hmga1_targets
Curated_gene_sets:hillion_hm...2         SET      71   -0.0050041  -0.00031262     0.074024      0.52695 Curated_gene_sets:hillion_hmga1b_targets
Curated_gene_sets:dacosta_uv...2         SET      65     0.011426   0.00068312     0.074288      0.43888 Curated_gene_sets:dacosta_uv_response_via_ercc3_common_up
Curated_gene_sets:lein_neuro...          SET      59    -0.024628    -0.001403      0.07853      0.62309 Curated_gene_sets:lein_neuron_markers
Curated_gene_sets:lein_astro...          SET      39    -0.010147  -0.00047022      0.10101      0.54001 Curated_gene_sets:lein_astrocyte_markers
Curated_gene_sets:lein_oligo...          SET      70   -0.0062553  -0.00038804     0.074857       0.5333 Curated_gene_sets:lein_oligodendrocyte_markers
Curated_gene_sets:lein_choro...          SET     100     -0.12546   -0.0092943     0.062931      0.97689 Curated_gene_sets:lein_choroid_plexus_markers
Curated_gene_sets:lein_midbr...          SET      70    -0.058033      -0.0036      0.07776      0.77225 Curated_gene_sets:lein_midbrain_markers
Curated_gene_sets:lein_pons_...          SET      82    -0.055991    -0.003758      0.06667      0.79949 Curated_gene_sets:lein_pons_markers
Curated_gene_sets:lein_medul...          SET      80    -0.031952   -0.0021184     0.069258      0.67772 Curated_gene_sets:lein_medulla_markers
Curated_gene_sets:lein_cereb...          SET      78       0.0379    0.0024813     0.071904      0.29907 Curated_gene_sets:lein_cerebellum_markers
Curated_gene_sets:lein_local...1         SET      16     0.025314   0.00075187      0.15819      0.43643 Curated_gene_sets:lein_localized_to_distal_and_proximal_dendrites
Curated_gene_sets:lein_local...2         SET      35   -0.0031721  -0.00013928      0.10696      0.51183 Curated_gene_sets:lein_localized_to_proximal_dendrites
Curated_gene_sets:gavin_foxp...6         SET      91     0.029459    0.0020824     0.067922      0.33225 Curated_gene_sets:gavin_foxp3_targets_cluster_t4
Curated_gene_sets:gavin_foxp...7         SET      89     0.083175    0.0058149      0.06075     0.085489 Curated_gene_sets:gavin_foxp3_targets_cluster_t7
Curated_gene_sets:gavin_foxp...1         SET      72     -0.07317   -0.0046032     0.072633      0.84312 Curated_gene_sets:gavin_foxp3_targets_cluster_p2
Curated_gene_sets:gavin_foxp...2         SET     151   -0.0034452  -0.00031319     0.050123       0.5274 Curated_gene_sets:gavin_foxp3_targets_cluster_p3
Curated_gene_sets:gavin_foxp...3         SET      95    -0.029515   -0.0021315     0.063331      0.67941 Curated_gene_sets:gavin_foxp3_targets_cluster_p4
Curated_gene_sets:gavin_foxp...4         SET      83     0.047317    0.0031951     0.065282      0.23429 Curated_gene_sets:gavin_foxp3_targets_cluster_p6
Curated_gene_sets:gavin_foxp...5         SET      84     0.060519     0.004111     0.067843      0.18619 Curated_gene_sets:gavin_foxp3_targets_cluster_p7
Curated_gene_sets:gavin_pde3...          SET      21    -0.038237   -0.0013009      0.13401       0.6123 Curated_gene_sets:gavin_pde3b_targets
Curated_gene_sets:gavin_il2_...2         SET      16      -0.2454    -0.007289      0.16626      0.93003 Curated_gene_sets:gavin_il2_responsive_foxp3_targets_up
Curated_gene_sets:gavin_il2_...1         SET       5     -0.28949   -0.0048081      0.25195      0.87472 Curated_gene_sets:gavin_il2_responsive_foxp3_targets_dn
Curated_gene_sets:zheng_boun...          SET     466    -0.069897    -0.011064     0.030147      0.98978 Curated_gene_sets:zheng_bound_by_foxp3
Curated_gene_sets:marson_bou...2         SET     935     0.012043    0.0026642     0.020499      0.27843 Curated_gene_sets:marson_bound_by_foxp3_stimulated
Curated_gene_sets:marson_bou...3         SET    1109     0.034962    0.0083805     0.019066     0.033358 Curated_gene_sets:marson_bound_by_foxp3_unstimulated
Curated_gene_sets:marson_bou...1         SET     643     0.049318    0.0091239     0.024223     0.020883 Curated_gene_sets:marson_bound_by_e2f4_unstimulated
Curated_gene_sets:marson_fox...4         SET      27     0.074218    0.0028628      0.11892      0.26629 Curated_gene_sets:marson_foxp3_targets_stimulated_up
Curated_gene_sets:marson_fox...3         SET      10      -0.0625   -0.0014679      0.18521      0.63211 Curated_gene_sets:marson_foxp3_targets_stimulated_dn
Curated_gene_sets:marson_fox...1         SET      17    -0.054013   -0.0016536      0.14567       0.6446 Curated_gene_sets:marson_foxp3_core_direct_targets
Curated_gene_sets:zheng_foxp...5         SET     191     0.024776    0.0025303     0.046065      0.29534 Curated_gene_sets:zheng_foxp3_targets_in_thymus_up
Curated_gene_sets:zheng_foxp...4         SET      11      0.07795      0.00192      0.18422       0.3361 Curated_gene_sets:zheng_foxp3_targets_in_thymus_dn
Curated_gene_sets:zheng_foxp...3         SET      12     -0.30989   -0.0079722      0.18153      0.95609 Curated_gene_sets:zheng_foxp3_targets_in_t_lymphocyte_up
Curated_gene_sets:zheng_foxp...2         SET      38      -0.1712   -0.0078316      0.10897       0.9419 Curated_gene_sets:zheng_foxp3_targets_in_t_lymphocyte_dn
Curated_gene_sets:zheng_foxp...6         SET      26     -0.16266    -0.006157      0.12568      0.90219 Curated_gene_sets:zheng_foxp3_targets_up
Curated_gene_sets:zheng_foxp...1         SET       7    -0.043993  -0.00086452      0.25164      0.56939 Curated_gene_sets:zheng_foxp3_targets_dn
Curated_gene_sets:sansom_apc...2         SET     192     0.034754    0.0035585     0.043359      0.21141 Curated_gene_sets:sansom_apc_targets
Curated_gene_sets:sansom_apc...1         SET     226     0.048923    0.0054295     0.039339      0.10683 Curated_gene_sets:sansom_apc_myc_targets
Curated_gene_sets:sansom_apc...4         SET     209   -0.0054917  -0.00058638     0.040764      0.55358 Curated_gene_sets:sansom_apc_targets_require_myc
Curated_gene_sets:sansom_wnt...          SET      59      0.20016     0.011403     0.081317    0.0069235 Curated_gene_sets:sansom_wnt_pathway_require_myc
Curated_gene_sets:yegnasubra...          SET     106       0.1456     0.011104     0.060264    0.0078495 Curated_gene_sets:yegnasubramanian_prostate_cancer
Curated_gene_sets:riggins_ta...2         SET      58     0.048134    0.0027189     0.081425      0.27722 Curated_gene_sets:riggins_tamoxifen_resistance_up
Curated_gene_sets:riggins_ta...1         SET     211    -0.044956   -0.0048229     0.042745      0.85353 Curated_gene_sets:riggins_tamoxifen_resistance_dn
Curated_gene_sets:nikolsky_o...          SET      21     0.083291    0.0028338      0.13572      0.26972 Curated_gene_sets:nikolsky_overconnected_in_breast_cancer
Curated_gene_sets:stein_esrr...4         SET      26    0.0053267   0.00020163       0.1302      0.48368 Curated_gene_sets:stein_esrra_targets_responsive_to_estrogen_up
Curated_gene_sets:stein_esrr...3         SET      39      0.15424    0.0071482     0.097411      0.05667 Curated_gene_sets:stein_esrra_targets_responsive_to_estrogen_dn
Curated_gene_sets:stein_esrr...5         SET     363     0.020022    0.0028053     0.032135      0.26663 Curated_gene_sets:stein_esrra_targets_up
Curated_gene_sets:stein_esrr...2         SET      95     0.088284    0.0063756     0.061451     0.075417 Curated_gene_sets:stein_esrra_targets_dn
Curated_gene_sets:wang_lsd1_...2         SET      24     -0.22842   -0.0083075       0.1333      0.95668 Curated_gene_sets:wang_lsd1_targets_up
Curated_gene_sets:wang_lsd1_...1         SET      33     -0.07591   -0.0032366      0.11171      0.75159 Curated_gene_sets:wang_lsd1_targets_dn
Curated_gene_sets:foster_tol...2         SET     151    -0.015732   -0.0014302     0.051509      0.61998 Curated_gene_sets:foster_tolerant_macrophage_up
Curated_gene_sets:foster_tol...1         SET     390     0.029386    0.0042645     0.032019      0.17938 Curated_gene_sets:foster_tolerant_macrophage_dn
Curated_gene_sets:tesar_alk_...2         SET       4     -0.25022   -0.0037173      0.33938      0.76952 Curated_gene_sets:tesar_alk_targets_episc_3d_up
Curated_gene_sets:tesar_alk_...3         SET       5     -0.21222   -0.0035248      0.29729      0.76234 Curated_gene_sets:tesar_alk_targets_episc_4d_up
Curated_gene_sets:tesar_alk_...1         SET       5      0.58128    0.0096546      0.26251      0.01341 Curated_gene_sets:tesar_alk_and_jak_targets_mouse_es_d4_dn
Curated_gene_sets:tesar_jak_...2         SET       7     -0.34089   -0.0066988      0.25493      0.90941 Curated_gene_sets:tesar_jak_targets_mouse_es_d3_up
Curated_gene_sets:tesar_jak_...1         SET       7      0.12559     0.002468      0.24869      0.30678 Curated_gene_sets:tesar_jak_targets_mouse_es_d3_dn
Curated_gene_sets:ji_carcino...1         SET      16     0.049433    0.0014683      0.14657      0.36796 Curated_gene_sets:ji_carcinogenesis_by_kras_and_stk11_dn
Curated_gene_sets:ji_carcino...2         SET      10      0.14457    0.0033953       0.1941       0.2282 Curated_gene_sets:ji_carcinogenesis_by_kras_and_stk11_up
Curated_gene_sets:gazin_epig...          SET      25    -0.073141   -0.0027149      0.11986      0.72914 Curated_gene_sets:gazin_epigenetic_silencing_by_kras
Curated_gene_sets:jepsen_smr...          SET      30     0.090044    0.0036608      0.10961       0.2057 Curated_gene_sets:jepsen_smrt_targets
Curated_gene_sets:kyng_dna_d...1         SET      32     -0.04095   -0.0017193      0.10887      0.64658 Curated_gene_sets:kyng_dna_damage_by_4nqo
Curated_gene_sets:kyng_dna_d...5         SET      71     0.015207   0.00095002     0.072166      0.41655 Curated_gene_sets:kyng_dna_damage_by_gamma_radiation
Curated_gene_sets:kyng_dna_d...6         SET      55     0.039655    0.0021814     0.081936      0.31421 Curated_gene_sets:kyng_dna_damage_by_uv
Curated_gene_sets:kyng_dna_d...2         SET      15      0.17261    0.0049641      0.15878      0.13851 Curated_gene_sets:kyng_dna_damage_by_4nqo_or_gamma_radiation
Curated_gene_sets:kyng_dna_d...3         SET      55    -0.081946   -0.0045079     0.085334      0.83154 Curated_gene_sets:kyng_dna_damage_by_4nqo_or_uv
Curated_gene_sets:kyng_dna_d...4         SET      80     0.089127     0.005909     0.067875     0.094581 Curated_gene_sets:kyng_dna_damage_by_gamma_and_uv_radiation
Curated_gene_sets:kyng_envir...2         SET      12      0.14709    0.0037841      0.15601      0.17289 Curated_gene_sets:kyng_environmental_stress_response_not_by_4nqo_in_old
Curated_gene_sets:kyng_envir...3         SET      36       0.1409    0.0062741     0.094217     0.067403 Curated_gene_sets:kyng_environmental_stress_response_not_by_4nqo_in_ws
Curated_gene_sets:kyng_envir...4         SET      30      0.13407    0.0054506      0.10033     0.090746 Curated_gene_sets:kyng_environmental_stress_response_not_by_gamma_in_old
Curated_gene_sets:kyng_envir...5         SET      30      0.16072    0.0065343     0.099754     0.053579 Curated_gene_sets:kyng_environmental_stress_response_not_by_gamma_in_ws
Curated_gene_sets:kyng_envir...6         SET      24      0.10817     0.003934      0.10397       0.1491 Curated_gene_sets:kyng_environmental_stress_response_not_by_uv_in_old
Curated_gene_sets:kyng_envir...7         SET      13      0.12268    0.0032848      0.14159      0.19313 Curated_gene_sets:kyng_environmental_stress_response_not_by_uv_in_ws
Curated_gene_sets:kyng_dna_d...7         SET     175     0.037128    0.0036311     0.046233      0.21097 Curated_gene_sets:kyng_dna_damage_dn
Curated_gene_sets:kyng_dna_d...8         SET     196     0.030851    0.0031912     0.043358      0.23838 Curated_gene_sets:kyng_dna_damage_up
Curated_gene_sets:kyng_envir...8         SET      49     0.027904    0.0014491     0.083982      0.36985 Curated_gene_sets:kyng_environmental_stress_response_up
Curated_gene_sets:kyng_envir...1         SET      17      0.13013    0.0039841      0.13605      0.16941 Curated_gene_sets:kyng_environmental_stress_response_dn
Curated_gene_sets:kondo_pros...1         SET      90     0.043745    0.0030753     0.067074      0.25714 Curated_gene_sets:kondo_prostate_cancer_hcp_with_h3k27me3
Curated_gene_sets:kondo_pros...2         SET     162     0.020677    0.0019464     0.051161      0.34305 Curated_gene_sets:kondo_prostate_cancer_with_h3k27me3
Curated_gene_sets:kondo_colo...1         SET      25     -0.19949   -0.0074048      0.11923      0.95284 Curated_gene_sets:kondo_colon_cancer_hcp_with_h3k27me1
Curated_gene_sets:kondo_colo...2         SET       4     -0.28174   -0.0041855      0.33665      0.79867 Curated_gene_sets:kondo_colon_cancer_hcp_with_h3k27me3
Curated_gene_sets:kondo_ezh2...          SET     214    -0.048973   -0.0052906     0.043603      0.86931 Curated_gene_sets:kondo_ezh2_targets
Curated_gene_sets:zhang_gata...2         SET      12      0.01149   0.00029559      0.18592      0.47536 Curated_gene_sets:zhang_gata6_targets_up
Curated_gene_sets:zhang_gata...1         SET      61     -0.16943   -0.0098137     0.078439      0.98461 Curated_gene_sets:zhang_gata6_targets_dn
Curated_gene_sets:mcgowan_rs...          SET      18      0.12995    0.0040937      0.15169      0.19582 Curated_gene_sets:mcgowan_rsp6_targets_up
Curated_gene_sets:kang_cispl...2         SET      20      0.17374     0.005769      0.13839      0.10466 Curated_gene_sets:kang_cisplatin_resistance_up
Curated_gene_sets:kang_cispl...1         SET       8       0.2438    0.0051217      0.26112      0.17524 Curated_gene_sets:kang_cisplatin_resistance_dn
Curated_gene_sets:stearman_t...          SET      33     0.012717   0.00054219      0.10839       0.4533 Curated_gene_sets:stearman_tumor_field_effect_up
Curated_gene_sets:stearman_l...2         SET     118    0.0079297   0.00063782     0.057456      0.44512 Curated_gene_sets:stearman_lung_cancer_early_vs_late_up
Curated_gene_sets:stearman_l...1         SET      55     0.027054    0.0014882     0.084895      0.37499 Curated_gene_sets:stearman_lung_cancer_early_vs_late_dn
Curated_gene_sets:heller_sil...2         SET     243     0.056378    0.0064849     0.038808     0.073154 Curated_gene_sets:heller_silenced_by_methylation_up
Curated_gene_sets:heller_sil...1         SET     104     0.035361    0.0026712     0.063131       0.2877 Curated_gene_sets:heller_silenced_by_methylation_dn
Curated_gene_sets:heller_hda...4         SET     274    -0.005074  -0.00061921     0.036795      0.55484 Curated_gene_sets:heller_hdac_targets_up
Curated_gene_sets:heller_hda...1         SET     276     0.043464    0.0053233      0.03803      0.12655 Curated_gene_sets:heller_hdac_targets_dn
Curated_gene_sets:heller_hda...3         SET     390    0.0043147   0.00062615     0.031419      0.44539 Curated_gene_sets:heller_hdac_targets_silenced_by_methylation_up
Curated_gene_sets:heller_hda...2         SET     263      0.09589     0.011468     0.039273    0.0073149 Curated_gene_sets:heller_hdac_targets_silenced_by_methylation_dn
Curated_gene_sets:claus_pgr_...2         SET      10      0.10839    0.0025457      0.20268       0.2964 Curated_gene_sets:claus_pgr_positive_meningioma_up
Curated_gene_sets:claus_pgr_...1         SET      12     -0.21317    -0.005484      0.20073      0.85587 Curated_gene_sets:claus_pgr_positive_meningioma_dn
Curated_gene_sets:wong_mitoc...          SET     203    -0.021247   -0.0022363     0.041491       0.6957 Curated_gene_sets:wong_mitochondria_gene_module
Curated_gene_sets:wong_prote...          SET      46     -0.18897   -0.0095094     0.088656      0.98347 Curated_gene_sets:wong_proteasome_gene_module
Curated_gene_sets:coates_mac...2         SET      82   0.00026722   1.7935e-05     0.067637      0.49842 Curated_gene_sets:coates_macrophage_m1_vs_m2_up
Curated_gene_sets:coates_mac...1         SET      75    -0.053165   -0.0034133     0.069311      0.77847 Curated_gene_sets:coates_macrophage_m1_vs_m2_dn
Curated_gene_sets:lee_metast...3         SET      16      0.21911     0.006508      0.14625     0.067058 Curated_gene_sets:lee_metastasis_and_rna_processing_up
Curated_gene_sets:lee_metast...2         SET      67    -0.014297  -0.00086777     0.075884      0.57472 Curated_gene_sets:lee_metastasis_and_alternative_splicing_up
Curated_gene_sets:lee_metast...1         SET      42   -0.0040302  -0.00019381     0.093329      0.51722 Curated_gene_sets:lee_metastasis_and_alternative_splicing_dn
Curated_gene_sets:lin_melano...2         SET      69   -0.0011145  -6.8644e-05      0.07799       0.5057 Curated_gene_sets:lin_melanoma_copy_number_up
Curated_gene_sets:lin_melano...1         SET      41     0.043087    0.0020472      0.10284      0.33762 Curated_gene_sets:lin_melanoma_copy_number_dn
Curated_gene_sets:martinez_r...4         SET     627     0.047095    0.0086077     0.023997     0.024855 Curated_gene_sets:martinez_rb1_targets_up
Curated_gene_sets:martinez_r...3         SET     496   -0.0077091   -0.0012579     0.027369       0.6109 Curated_gene_sets:martinez_rb1_targets_dn
Curated_gene_sets:martinez_t...2         SET     558     0.067436      0.01165     0.025808    0.0044909 Curated_gene_sets:martinez_tp53_targets_up
Curated_gene_sets:martinez_t...1         SET     542    -0.012374   -0.0021078     0.025765      0.68448 Curated_gene_sets:martinez_tp53_targets_dn
Curated_gene_sets:martinez_r...2         SET     559     0.071307      0.01233     0.025811      0.00287 Curated_gene_sets:martinez_rb1_and_tp53_targets_up
Curated_gene_sets:martinez_r...1         SET     538    -0.019514   -0.0033122     0.025852      0.77482 Curated_gene_sets:martinez_rb1_and_tp53_targets_dn
Curated_gene_sets:finetti_br...2         SET      16      0.14439    0.0042886      0.14766      0.16409 Curated_gene_sets:finetti_breast_cancer_kinome_red
Curated_gene_sets:finetti_br...1         SET      14      0.26369    0.0073268      0.17095     0.061487 Curated_gene_sets:finetti_breast_cancer_kinome_green
Curated_gene_sets:finetti_br...3         SET      20      -0.1943   -0.0064516      0.13196      0.92953 Curated_gene_sets:finetti_breast_cancers_kinome_blue
Curated_gene_sets:finetti_br...4         SET      15     -0.01092  -0.00031406       0.1582      0.52752 Curated_gene_sets:finetti_breast_cancers_kinome_gray
Curated_gene_sets:massarweh_...3         SET     538     0.036927    0.0062678     0.026455     0.081391 Curated_gene_sets:massarweh_tamoxifen_resistance_up
Curated_gene_sets:massarweh_...2         SET     217    -0.074185   -0.0080695     0.043399       0.9563 Curated_gene_sets:massarweh_tamoxifen_resistance_dn
Curated_gene_sets:massarweh_...1         SET      60    -0.076049   -0.0043689     0.082761      0.82092 Curated_gene_sets:massarweh_response_to_estradiol
Curated_gene_sets:wallace_pr...4         SET      19     -0.04942   -0.0015994      0.14729      0.63139 Curated_gene_sets:wallace_prostate_cancer_up
Curated_gene_sets:wallace_pr...1         SET       5      0.55996    0.0093005      0.30003     0.031004 Curated_gene_sets:wallace_prostate_cancer_dn
Curated_gene_sets:wallace_pr...3         SET     263     0.037563    0.0044924     0.038138      0.16234 Curated_gene_sets:wallace_prostate_cancer_race_up
Curated_gene_sets:wallace_pr...2         SET      79     0.070108    0.0046191     0.068021      0.15135 Curated_gene_sets:wallace_prostate_cancer_race_dn
Curated_gene_sets:sarrio_epi...2         SET     169     0.079986    0.0076886     0.045544     0.039531 Curated_gene_sets:sarrio_epithelial_mesenchymal_transition_up
Curated_gene_sets:sarrio_epi...1         SET     143     0.031616    0.0027975     0.049648      0.26213 Curated_gene_sets:sarrio_epithelial_mesenchymal_transition_dn
Curated_gene_sets:ouillette_...2         SET      71    0.0089843   0.00056128     0.067017      0.44668 Curated_gene_sets:ouillette_cll_13q14_deletion_up
Curated_gene_sets:ouillette_...1         SET      51     -0.17631   -0.0093408     0.085093      0.98086 Curated_gene_sets:ouillette_cll_13q14_deletion_dn
Curated_gene_sets:yokoe_canc...          SET      32     0.058829      0.00247      0.10508      0.28779 Curated_gene_sets:yokoe_cancer_testis_antigens
Curated_gene_sets:marzec_il2...2         SET     107    -0.049683   -0.0038066     0.057402      0.80662 Curated_gene_sets:marzec_il2_signaling_up
Curated_gene_sets:marzec_il2...1         SET      36    -0.093584   -0.0041672     0.099001      0.82773 Curated_gene_sets:marzec_il2_signaling_dn
Curated_gene_sets:iwanaga_ca...3         SET     169    -0.038136   -0.0036658     0.046471      0.79407 Curated_gene_sets:iwanaga_carcinogenesis_by_kras_pten_up
Curated_gene_sets:iwanaga_ca...2         SET     324      0.10946     0.014505     0.034099   0.00066486 Curated_gene_sets:iwanaga_carcinogenesis_by_kras_pten_dn
Curated_gene_sets:iwanaga_ca...4         SET     157     0.001592   0.00014754      0.04853      0.48692 Curated_gene_sets:iwanaga_carcinogenesis_by_kras_up
Curated_gene_sets:iwanaga_ca...1         SET     108     0.041125    0.0031655     0.057182      0.23602 Curated_gene_sets:iwanaga_carcinogenesis_by_kras_dn
Curated_gene_sets:der_ifn_al...1         SET       4     -0.23829   -0.0035401      0.33278      0.76302 Curated_gene_sets:der_ifn_alpha_response_dn
Curated_gene_sets:camps_colo...2         SET      85   -0.0019828  -0.00013548     0.071257       0.5111 Curated_gene_sets:camps_colon_cancer_copy_number_up
Curated_gene_sets:camps_colo...1         SET      53     0.078806    0.0042558     0.085698       0.1789 Curated_gene_sets:camps_colon_cancer_copy_number_dn
Curated_gene_sets:rizki_tumo...4         SET     190    -0.050561   -0.0051502     0.043583      0.87699 Curated_gene_sets:rizki_tumor_invasiveness_3d_up
Curated_gene_sets:rizki_tumo...3         SET     246     0.011489    0.0013295      0.03875      0.38343 Curated_gene_sets:rizki_tumor_invasiveness_3d_dn
Curated_gene_sets:rizki_tumo...2         SET      64     -0.12991   -0.0077071     0.071848       0.9647 Curated_gene_sets:rizki_tumor_invasiveness_2d_up
Curated_gene_sets:rizki_tumo...1         SET      58    -0.089211   -0.0050391     0.081642      0.86273 Curated_gene_sets:rizki_tumor_invasiveness_2d_dn
Curated_gene_sets:fujii_ybx1...2         SET      37     -0.12667   -0.0057181      0.09757      0.90289 Curated_gene_sets:fujii_ybx1_targets_up
Curated_gene_sets:fujii_ybx1...1         SET     181     0.019663    0.0019554     0.043046      0.32391 Curated_gene_sets:fujii_ybx1_targets_dn
Curated_gene_sets:osada_ascl...2         SET      44  -0.00037479  -1.8446e-05     0.095881      0.50156 Curated_gene_sets:osada_ascl1_targets_up
Curated_gene_sets:osada_ascl...1         SET      22      0.33687     0.011731      0.13367    0.0058676 Curated_gene_sets:osada_ascl1_targets_dn
Curated_gene_sets:cheng_impr...          SET     104     -0.12479    -0.009427     0.059902      0.98138 Curated_gene_sets:cheng_imprinted_by_estradiol
Curated_gene_sets:de_yy1_tar...2         SET      18     -0.28739   -0.0090533      0.14017      0.97982 Curated_gene_sets:de_yy1_targets_up
Curated_gene_sets:de_yy1_tar...1         SET      88     0.019579    0.0013611     0.064559      0.38084 Curated_gene_sets:de_yy1_targets_dn
Curated_gene_sets:mccabe_bou...          SET     383     0.012116    0.0017428     0.032328      0.35391 Curated_gene_sets:mccabe_bound_by_hoxc6
Curated_gene_sets:pos_respon...2         SET      12      0.11538    0.0029682      0.17602      0.25609 Curated_gene_sets:pos_response_to_histamine_up
Curated_gene_sets:pos_respon...1         SET      11    -0.014194  -0.00034962      0.18278      0.53095 Curated_gene_sets:pos_response_to_histamine_dn
Curated_gene_sets:pos_histam...          SET      30      0.04733    0.0019243      0.11291      0.33755 Curated_gene_sets:pos_histamine_response_network
Curated_gene_sets:dairkee_ca...3         SET      28    -0.056124   -0.0022045      0.12273      0.67627 Curated_gene_sets:dairkee_cancer_prone_response_e2
Curated_gene_sets:dairkee_ca...1         SET      50     -0.02386   -0.0012516     0.084331      0.61138 Curated_gene_sets:dairkee_cancer_prone_response_bpa
Curated_gene_sets:dairkee_ca...2         SET     111   -0.0093473  -0.00072935     0.056637      0.56554 Curated_gene_sets:dairkee_cancer_prone_response_bpa_e2
Curated_gene_sets:yamashita_...6         SET       6     -0.15603   -0.0028387      0.26725      0.72032 Curated_gene_sets:yamashita_silenced_by_methylation
Curated_gene_sets:yamashita_...5         SET      53     0.084819    0.0045805     0.082574      0.15217 Curated_gene_sets:yamashita_methylated_in_prostate_cancer
Curated_gene_sets:ouyang_pro...3         SET      19    -0.030021  -0.00097163      0.14252      0.58342 Curated_gene_sets:ouyang_prostate_cancer_progression_up
Curated_gene_sets:ouyang_pro...2         SET      20    0.0023213   7.7078e-05      0.11767      0.49213 Curated_gene_sets:ouyang_prostate_cancer_progression_dn
Curated_gene_sets:ouyang_pro...1         SET      20    -0.012536  -0.00041627      0.13923      0.53587 Curated_gene_sets:ouyang_prostate_cancer_markers
Curated_gene_sets:riggi_ewin...2         SET     400     0.010784    0.0015845     0.032638      0.37054 Curated_gene_sets:riggi_ewing_sarcoma_progenitor_up
Curated_gene_sets:riggi_ewin...1         SET     178     -0.11407     -0.01125     0.046496      0.99292 Curated_gene_sets:riggi_ewing_sarcoma_progenitor_dn
Curated_gene_sets:gautschi_s...          SET       7    -0.053536    -0.001052      0.23438      0.59034 Curated_gene_sets:gautschi_src_signaling
Curated_gene_sets:vicent_met...          SET      14      0.26063    0.0072416      0.17532     0.068569 Curated_gene_sets:vicent_metastasis_up
Curated_gene_sets:ambrosini_...          SET     102      0.10241     0.007662     0.060931     0.046413 Curated_gene_sets:ambrosini_flavopiridol_treatment_tp53
Curated_gene_sets:hann_resis...2         SET      30    -0.093212   -0.0037896      0.11311      0.79505 Curated_gene_sets:hann_resistance_to_bcl2_inhibitor_up
Curated_gene_sets:hann_resis...1         SET      44    -0.086163   -0.0042407     0.096139      0.81493 Curated_gene_sets:hann_resistance_to_bcl2_inhibitor_dn
