Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
TF_targets	FAC1_01	219	7	0.000230827319679212	0.0156449627782577	HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:FAM117A:ITGA3	http://www.gsea-msigdb.org/gsea/msigdb/cards/FAC1_01
TF_targets	PAX8_B	105	5	0.00030785749996749105	0.017088972267888556	HOXB4:HOXB7:HOXB8:ATP5G1:GGN	http://www.gsea-msigdb.org/gsea/msigdb/cards/PAX8_B
TF_targets	PIT1_Q6	230	7	0.00031086713766073767	0.017088972267888556	CCND1:HOXB3:HOXB6:HOXB8:UBE2Z:JADE2:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/PIT1_Q6
TF_targets	MZF1_01	233	7	0.00033617650363059457	0.017088972267888556	HOXB4:HOXB8:HOXB13:UBE2Z:ITGA3:WDPCP:JADE2	http://www.gsea-msigdb.org/gsea/msigdb/cards/MZF1_01
TF_targets	EVI1_05	171	6	0.0003994265667663202	0.018742323517496565	HNF1B:HOXB3:HOXB7:HOXB8:JAZF1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/EVI1_05
TF_targets	HMGIY_Q6	246	7	0.0004656562626412621	0.019400650768352262	CDC27:HOXB4:HOXB6:HOXB8:FAM117A:MDH1:TERT	http://www.gsea-msigdb.org/gsea/msigdb/cards/HMGIY_Q6
TF_targets	MYOD_Q6	247	7	0.0004770651828283343	0.019400650768352262	KRT8:NPEPPS:SPOP:GGN:ITGA6:JAZF1:TECPR1	http://www.gsea-msigdb.org/gsea/msigdb/cards/MYOD_Q6
TF_targets	AREB6_02	250	7	0.0005126374308284401	0.019544302050334278	HNF1B:ITGA3:GGN:OTX1:WDPCP:IRX4:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/AREB6_02
TF_targets	SP1_Q4_01	254	7	0.000563325117538254	0.02021343068813735	ASCL2:EFCAB13:HOXB7:GGN:CLDN11:JADE2:FOXP4	http://www.gsea-msigdb.org/gsea/msigdb/cards/SP1_Q4_01
TF_targets	OCT_Q6	259	7	0.0006322138255043442	0.02076446839692928	HNF1B:HOXB4:HOXB6:HOXB8:FAM117A:IRX4:LYN	http://www.gsea-msigdb.org/gsea/msigdb/cards/OCT_Q6
TF_targets	NFAT_Q4_01	260	7	0.0006467621303961579	0.02076446839692928	HOXB2:HOXB4:TTLL6:UBE2Z:EHBP1:MDH1:VAMP8	http://www.gsea-msigdb.org/gsea/msigdb/cards/NFAT_Q4_01
TF_targets	YYCATTCAWW_UNKNOWN	191	6	0.0007157286492013052	0.02182972380063981	CCND1:SKAP1:HOXB7:ATP5G1:DPF1:GGN	http://www.gsea-msigdb.org/gsea/msigdb/cards/YYCATTCAWW_UNKNOWN
TF_targets	GR_Q6_01	267	7	0.0007562093399266065	0.02196608082643952	NPEPPS:HOXB3:HOXB7:FAM117A:OTX1:TET2:BHLHA15	http://www.gsea-msigdb.org/gsea/msigdb/cards/GR_Q6_01
TF_targets	CAGNYGKNAAA_UNKNOWN	76	4	0.0008691086660396184	0.02409801301291669	HOXB2:FAM117A:CHMP2B:TET2	http://www.gsea-msigdb.org/gsea/msigdb/cards/CAGNYGKNAAA_UNKNOWN
TF_targets	TGATTTRY_GFI1_01	292	7	0.0012719090728979137	0.03373324062903162	CCND1:HOXB6:HOXB7:HOXB8:OTX1:WDPCP:JAZF1	http://www.gsea-msigdb.org/gsea/msigdb/cards/TGATTTRY_GFI1_01
TF_targets	MEF2_01	146	5	0.0013730396743661393	0.03400353794754979	ASCL2:HOXB4:PHOSPHO1:EHBP1:LYN	http://www.gsea-msigdb.org/gsea/msigdb/cards/MEF2_01
TF_targets	PAX4_04	218	6	0.0014159474597570437	0.03400353794754979	HOXB4:HOXB7:HOXB8:ITGA3:WDPCP:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/PAX4_04
TF_targets	MAZR_01	219	6	0.0014493311256332697	0.03400353794754979	CDC27:HOXB6:HOXB7:FAM117A:GGN:ITGA6	http://www.gsea-msigdb.org/gsea/msigdb/cards/MAZR_01
TF_targets	CHX10_01	223	6	0.0015889125623139609	0.03552341308033831	FGF19:HOXB7:ATP5G1:WDPCP:VAMP8:IRX4	http://www.gsea-msigdb.org/gsea/msigdb/cards/CHX10_01
TF_targets	CDP_01	90	4	0.0016305828954909386	0.03552341308033831	CCND1:HOXB8:WDPCP:IRX4	http://www.gsea-msigdb.org/gsea/msigdb/cards/CDP_01
TF_targets	SPZ1_01	230	6	0.001857553812522348	0.03907268364271146	PIK3C2B:HNF1B:HOXB1:HOXB4:HOXB6:HOXB8	http://www.gsea-msigdb.org/gsea/msigdb/cards/SPZ1_01
TF_targets	GGGTGGRR_PAX4_03	1288	16	0.002089281244510266	0.04248205197170874	LRRN2:HNF1B:HOXB2:HOXB4:HOXB6:HOXB8:HOXB13:UBE2Z:PHOSPHO1:SPOP:DPF1:GGN:ITGA6:LIME1:SKIL:JADE2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GGGTGGRR_PAX4_03
TF_targets	SP3_Q3	246	6	0.002600140971110913	0.04591849292563752	HOXB6:HOXB8:ATP5G1:JADE2:FOXP4:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/SP3_Q3
TF_targets	FOXO3_01	247	6	0.0026529976297193295	0.04591849292563752	SKAP1:HOXB8:ITGA3:PRKCI:JADE2:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/FOXO3_01
TF_targets	FOXO1_02	248	6	0.00270665799430492	0.04591849292563752	HOXB4:HOXB8:TET2:IRX4:JADE2:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/FOXO1_02
TF_targets	CREB_Q3	251	6	0.002872538077056437	0.04591849292563752	CCND1:HOXB3:HOXB6:SNF8:IRX4:JADE2	http://www.gsea-msigdb.org/gsea/msigdb/cards/CREB_Q3
TF_targets	MYOD_Q6_01	251	6	0.002872538077056437	0.04591849292563752	KRT8:SPOP:GGN:ITGA6:FOXP4:JAZF1	http://www.gsea-msigdb.org/gsea/msigdb/cards/MYOD_Q6_01
TF_targets	E47_01	252	6	0.0029294901000436915	0.04591849292563752	HOXB7:SPOP:ITGA3:GGN:OTX1:ITGA6	http://www.gsea-msigdb.org/gsea/msigdb/cards/E47_01
TF_targets	IPF1_Q4	253	6	0.0029872843258519433	0.04591849292563752	CCND1:HOXB1:HOXB8:OTX1:LIME1:PDLIM5	http://www.gsea-msigdb.org/gsea/msigdb/cards/IPF1_Q4
TF_targets	PBX1_01	255	6	0.0031054303829538936	0.04591849292563752	CCND1:HOXB2:HOXB8:FAM117A:C19orf33:JADE2	http://www.gsea-msigdb.org/gsea/msigdb/cards/PBX1_01
TF_targets	CMYB_01	256	6	0.003165797747618592	0.04591849292563752	CDC27:HOXB3:HOXB4:HOXB8:SPINT2:JADE2	http://www.gsea-msigdb.org/gsea/msigdb/cards/CMYB_01
TF_targets	FREAC2_01	258	6	0.003289160083224399	0.04591849292563752	SKAP1:HOXB4:EHBP1:TET2:JADE2:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/FREAC2_01
TF_targets	OCT_C	258	6	0.003289160083224399	0.04591849292563752	HNF1B:HOXB3:HOXB8:FAM117A:IRX4:LYN	http://www.gsea-msigdb.org/gsea/msigdb/cards/OCT_C
TF_targets	AREB6_03	259	6	0.0033521706665071383	0.04591849292563752	KRT8:HNF1B:NPEPPS:SKAP1:NGFR:ITGA6	http://www.gsea-msigdb.org/gsea/msigdb/cards/AREB6_03
TF_targets	OCT1_06	260	6	0.0034160779546960882	0.04591849292563752	FGF19:HNF1B:HOXB4:HOXB8:OTX1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/OCT1_06
TF_targets	GFI1_01	262	6	0.0035466139997025357	0.04591849292563752	HOXB3:HOXB6:HOXB8:RNF181:TET2:JAZF1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GFI1_01
TF_targets	AREB6_01	263	6	0.003613258459722297	0.04591849292563752	KRT8:HOXB6:TTLL6:IRX4:JADE2:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/AREB6_01
TF_targets	OCT1_B	263	6	0.003613258459722297	0.04591849292563752	HNF1B:HOXB6:FAM117A:SKIL:IRX4:LYN	http://www.gsea-msigdb.org/gsea/msigdb/cards/OCT1_B
TF_targets	OCT1_01	263	6	0.003613258459722297	0.04591849292563752	CCND1:HNF1B:HOXB6:FAM117A:SKIL:LYN	http://www.gsea-msigdb.org/gsea/msigdb/cards/OCT1_01
TF_targets	E12_Q6	263	6	0.003613258459722297	0.04591849292563752	KRT8:HNF1B:NPEPPS:HOXB7:GGN:ITGA6	http://www.gsea-msigdb.org/gsea/msigdb/cards/E12_Q6
TF_targets	STTTCRNTTT_IRF_Q6	184	5	0.0037489594666357735	0.046460416454217314	CCND1:HOXB6:OTX1:VAMP5:JADE2	http://www.gsea-msigdb.org/gsea/msigdb/cards/STTTCRNTTT_IRF_Q6
TF_targets	HOXA4_Q2	267	6	0.00388919622178056	0.046460416454217314	CCND1:FGF19:HOXB7:HOXB8:TTLL6:WDPCP	http://www.gsea-msigdb.org/gsea/msigdb/cards/HOXA4_Q2
TF_targets	LYF1_01	267	6	0.00388919622178056	0.046460416454217314	CDC27:HOXB1:HOXB8:VAMP8:IRX4:JADE2	http://www.gsea-msigdb.org/gsea/msigdb/cards/LYF1_01
TF_targets	IK2_01	268	6	0.003960560091179181	0.046460416454217314	ASCL2:VPS53:HOXB2:HOXB4:TTLL6:PDLIM5	http://www.gsea-msigdb.org/gsea/msigdb/cards/IK2_01
